btc	#btc	$btc	@btc	bitcoin	#bitcoin	$bitcoin	@bitcoin
vet	#vet	$vet	@vet	vechain	#vechain	$vechain	@vechain
etc	#etc	$etc	@etc	ethereum classic	#ethereumclassic	$ethereumclassic	@ethereumclassic	ethereum-classic	#ethereum-classic	$ethereum-classic	@ethereum-classic
iost	#iost	$iost	@iost	iostoken	#iostoken	$iostoken	@iostoken
wtc	#wtc	$wtc	@wtc	waltonchain	#waltonchain	$waltonchain	@waltonchain
zec	#zec	$zec	@zec	zcash	#zcash	$zcash	@zcash
rhoc	#rhoc	$rhoc	@rhoc	rchain	#rchain	$rchain	@rchain
mkr	#mkr	$mkr	@mkr	maker	#maker	$maker	@maker
qtum	#qtum	$qtum	@qtum
btg	#btg	$btg	@btg	bitcoin gold	#bitcoingold	$bitcoingold	@bitcoingold	bitcoin-gold	#bitcoin-gold	$bitcoin-gold	@bitcoin-gold
npxs	#npxs	$npxs	@npxs	pundi x	#pundix	$pundix	@pundix	pundi-x	#pundi-x	$pundi-x	@pundi-x
lsk	#lsk	$lsk	@lsk	lisk	#lisk	$lisk	@lisk
etp	#etp	$etp	@etp	metaverse etp	#metaverseetp	$metaverseetp	@metaverseetp	metaverse	#metaverse	$metaverse	@metaverse
xem	#xem	$xem	@xem	nem	#nem	$nem	@nem
ont	#ont	$ont	@ont	ontology	#ontology	$ontology	@ontology
bcd	#bcd	$bcd	@bcd	bitcoin diamond	#bitcoindiamond	$bitcoindiamond	@bitcoindiamond	bitcoin-diamond	#bitcoin-diamond	$bitcoin-diamond	@bitcoin-diamond
xmr	#xmr	$xmr	@xmr	monero	#monero	$monero	@monero
bcn	#bcn	$bcn	@bcn	bytecoin	#bytecoin	$bytecoin	@bytecoin	bytecoin-bcn	#bytecoin-bcn	$bytecoin-bcn	@bytecoin-bcn
usdt	#usdt	$usdt	@usdt	tether	#tether	$tether	@tether
btm	#btm	$btm	@btm	bytom	#bytom	$bytom	@bytom
